state_code,avg_newspapers_per_county_by_state
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
48,1.897637795
